broadcastInfo,category,geo,loc_id,naver_address,naver_title,post,tel,thumUrl,title
"{'name': None, 'menu': None}","['음식점', '카페,디저트']","[129.1266478, 35.1584168]",420817135042733,부산광역시 수영구 민락동 24-20,슈발츠발트,317,010-7591-6535,http://ldb.phinf.naver.net/20180402_290/1522679055149eSdkC_JPEG/6d7I9sj9a_PSRJiwsDPu0eB7.jpg,슈발츠발트
"{'name': None, 'menu': None}","['음식점', '브런치']","[127.2236734, 37.5937028]",141588393330206,경기도 남양주시 와부읍 월문리 1247-4,la brune,319,031-521-2525,http://ldb.phinf.naver.net/20190513_78/1557724035707BH6u2_JPEG/FUJx116TQ1lUuBou47jz8jvb.jpg,La Brune Cafe
"{'name': '수요미식회', 'menu': '떡볶이'}","['분식', '떡볶이']","[127.077816, 37.628185]",693361801,서울특별시 노원구 공릉동 208-18,쪼매매운떡볶이공릉점,319,02-977-1120,http://blogfiles.naver.net/MjAxODAxMDJfMTY0/MDAxNTE0ODY1MTA0ODY0.yWds5sh-nNifOp1Ni5C7oRxN34sI43fJJRX-NvhkDc0g.uBIY0J339Roul6S3fEj5IGM4_UoOwzVjmdCPNM_M_rEg.JPEG.jinmeizhi/P20171231_170117210_3DA956E8-9319-49BA-9D7C-1DE4B735C1E6.JPG#400x300,쪼매매운떡볶이
"{'name': None, 'menu': None}","['카페,디저트', '테이크아웃커피']","[126.9123436, 37.5510365]",125424388090492,서울특별시 마포구 합정동 473,스트라다로스터스,1293,02-336-0146,http://ldb.phinf.naver.net/20180418_111/15240184947611kQMB_JPEG/80EJNQHuDTA7qbsZXOO8CZau.jpg,스트라다로스터스
"{'name': None, 'menu': None}","['한식', '닭요리']","[126.917875, 37.3995833]",461368556,경기도 안양시 만안구 안양3동 695-200,원조닭꼬치,32,031-444-0532,http://ldb.phinf.naver.net/20190521_128/1558430258535U92A7_JPEG/EZG0AZ0BD0VlMtYuomaP28Md.jpg,원조꼬치
"{'name': None, 'menu': None}","['한식', '국수']","[128.4655875, 37.1806845]",171928526252855,강원도 영월군 영월읍 하송리 184-9,상동식당,32,033-374-4059,http://blogfiles.naver.net/20150802_110/springjshs_1438521242201UrWvz_JPEG/IMG_2954.JPG,상동막국수
"{'name': None, 'menu': None}","['음식점', '퓨전음식']","[128.1476683, 35.1760688]",570083733171055,경상남도 진주시 충무공동 282-1,달테이블 진주점,32,055-761-8776,http://ldb.phinf.naver.net/20170427_1/1493271913523vWU9p_JPEG/186377547532010_0.jpeg,달테이블
"{'name': '식신로드1', 'menu': '커피'}","['카페,디저트', '카페']","[128.8920222, 37.6965074]",739186337,강원도 강릉시 구정면 어단리 산314,테라로사 커피공장,32300,033-648-2760,http://ldb.phinf.naver.net/20150206_256/1423205404565iIakO_JPEG/%B0%AD%BF%F8_%B0%AD%B8%AA%C5%D7%B6%F3%B7%CE%BB%E7_1.JPG?type=m500_500,테라로사 커피공장
"{'name': None, 'menu': None}","['카페,디저트', '카페']","[127.0280426, 37.5030124]",239485922,서울특별시 강남구 역삼동 618-11,알베르,32400,02-566-6181,http://ldb.phinf.naver.net/20150901_65/1441078995193WHd7R_JPEG/166761513658589_0.jpg,Alver 알베르
"{'name': None, 'menu': None}","['음식점', '인도음식']","[126.999186, 37.582464]",520136161747038,서울특별시 종로구 명륜4가 170-3 2층,깔리,320,02-747-5050,http://ldb.phinf.naver.net/20150925_54/1443158320980iDcL9_JPEG/166875544855830_0.jpg,깔리 (Kali)
"{'name': None, 'menu': None}","['일식', '돈가스']","[126.70435, 37.4569179]",559501545,인천광역시 남동구 간석1동 482-2,유키돈까스,320,032-433-7128,http://blogfiles.naver.net/20160621_174/qufgk94_14664677309159JQuA_JPEG/P20160615_114914884_DE35DC43-CF1C-481E-9BEF-F2A271F364F2.JPG#1600x1200,유키 돈까스
"{'name': None, 'menu': None}","['음식점', '패밀리레스토랑']","[126.9722985, 35.9589233]",1025280695,전라북도 익산시 영등동 831-1,애슐리W 홈플러스 익산점,320,063-918-2023,http://ldb.phinf.naver.net/20190114_72/1547455095998vj4Ok_JPEG/Album_4466023280.jpg,익산애슐리
"{'name': None, 'menu': None}","['카페,디저트', '카페']","[127.031346, 37.259227]",219664733,경기도 수원시 팔달구 인계동 1132-12,스타벅스 수원이비스점,324,031-224-5877,http://ldb.phinf.naver.net/20151112_294/1447316784020fNqpg_JPEG/167062575643581_0.jpeg,인계동스타벅스
"{'name': None, 'menu': None}","['술집', '바(BAR)']","[126.6576284, 37.4528511]",1924023174531099,인천광역시 미추홀구 용현동 195-21,미로뮤지엄,1294,010-4446-0171,http://ldb.phinf.naver.net/20181021_297/1540130518430JiP9k_JPEG/LI8NT1b3jlEGKwrwSqVkFWnc.jpg,미로뮤지엄
"{'name': None, 'menu': None}","['양식', '브런치']","[126.7010091, 37.4462493]",829170847275719,인천광역시 남동구 구월동 1456,샤이바나 인천구월점,326,032-424-4281,http://ldb.phinf.naver.net/20180515_169/1526373235846ICBSA_JPEG/2mhzdy0XzYBpGPeeLvuX6D0f.jpeg.jpg,샤이바나 인천구월점
"{'name': None, 'menu': None}","['음식점', '한식']","[129.0599884, 35.1545977]",864263627076722,부산광역시 부산진구 부전동 190-5,내가찜한닭서면점,326,051-804-5353,http://ldb.phinf.naver.net/20190602_116/1559433223539HlcY6_JPEG/eX_lZoJV3TKhYly4cm_tB9rZ.jpg,내가찜한닭 서면
"{'name': None, 'menu': None}","['양식', '스테이크,립']","[127.0778074, 37.6504837]",2217725971572798,서울특별시 노원구 중계동 364-24 1층 미사리 스테이크,미사리스테이크 중계점,33,02-933-5580,http://ldb.phinf.naver.net/20181101_284/1541055425880z8mnh_JPEG/TPYv3ck5225T7M2Z4tLBVQke.jpg,미사리스테이크
"{'name': None, 'menu': None}","['한식', '족발,보쌈']","[128.563633, 35.866189]",478625073,대구광역시 서구 평리동 1194-7,불로군불족발,33,053-561-8839,http://ldb.phinf.naver.net/20160715_136/1468565209656RH0Op_PNG/176665557668482_0.png,불로군불족발
"{'name': None, 'menu': None}","['한식', '굴요리']","[126.768325, 37.6626154]",508623264,경기도 고양시 일산동구 장항동 778-2,굴사냥 라페점,33,031-932-0878,http://blogfiles.naver.net/20160621_38/dreamsb1_1466484708995OzAbd_JPEG/KakaoTalk_20160621_134520758.jpg#960x720,라페스타 굴사냥
"{'name': None, 'menu': None}","['일식', '돈가스']","[127.0535978, 37.1767987]",1951097058512975,경기도 오산시 금암동 494-3,바오돈까스,33,031-374-1109,,바오돈까스
"{'name': None, 'menu': None}","['음식점', '카페,디저트']","[127.0582135, 37.5447845]",160422561057787,서울특별시 성동구 성수동2가 277-135,어니언 성수,33500,02-1644-1941,http://ldb.phinf.naver.net/20190204_269/1549212634045uJAvX_PNG/Zfpnq_GUADvxtxA8DK6xvfOK.png,Cafe Onion
"{'name': None, 'menu': None}","['음식점', '양식']","[126.9291959, 37.4817717]",74625529,서울특별시 관악구 신림동 1637-26,르브와 신림점,331,02-883-9363,http://ldb.phinf.naver.net/20150901_222/14411084949919FShg_JPEG/30805267_0.jpg,르브와
"{'name': None, 'menu': None}","['한식', '족발,보쌈']","[126.8452842, 35.2156492]",272765859,광주광역시 광산구 월계동 886-3,깐깐한족발 본점,331,062-973-2292,http://ldb.phinf.naver.net/20181017_249/1539762055063zqd6M_JPEG/XcUQR9IAl8_5Ww9e-hnaESI5.jpg,깐깐한족발
"{'name': '인생메뉴잘먹겠습니다', 'menu': '블랙페퍼프라운'}","['중식', '중식당']","[127.0068045, 37.5040494]",1016338287,서울특별시 서초구 반포동 118-6,모던눌랑 센트럴시티점,1299,02-6282-5005,http://ldb.phinf.naver.net/20150917_179/14424530272955atKo_JPEG/SUBMIT_1442453008497_37086581.jpg,Modern Nulang
"{'name': None, 'menu': None}","['음식점', '피자']","[128.340875, 36.121637]",623462647838398,경상북도 구미시 송정동 4-2 102호,59쌀피자 구미송정점,333,050-7715-0200,http://ldb.phinf.naver.net/20190422_208/1555898544205jYCyV_PNG/88bbvTvafauxu82o4CLstVaN.png,금오산 쌀
"{'name': None, 'menu': None}","['양식', '이탈리아음식']","[126.7017015, 37.4463664]",336134860230987,인천광역시 남동구 구월동 1457-1,마초쉐프 구월점,334,032-422-8874,http://ldb.phinf.naver.net/20160327_138/1459083660506dogEi_JPEG/176277623120278_0.jpeg,마초쉐프
"{'name': None, 'menu': None}","['음식점', '한식']","[128.6363586, 35.2561122]",262356123,경상남도 창원시 의창구 도계동 403-10 1층 돼지새끼,대새네,336,055-277-8027,,돼지새끼
"{'name': None, 'menu': None}","['음식점', '카페,디저트']","[126.9223474, 35.1514044]",147055459267000,광주광역시 동구 동명동 200-158,바이닐,337,010-9125-5617,,동명동 바이닐
"{'name': None, 'menu': None}","['카페,디저트', '카페']","[126.928613, 37.483801]",261446239,서울특별시 관악구 신림동 1640-3 2-4F,카페베네 신림역점,337,02-886-6232,http://ldb.phinf.naver.net/20150831_4/1440991126925ScwnG_JPEG/137166576246550_0.jpeg,카페베네 신림점
"{'name': None, 'menu': None}","['술집', '포장마차']","[127.0628074, 37.6571076]",559372262,서울특별시 노원구 상계동 357-2,까마귀포차,337,02-937-7260,http://blogfiles.naver.net/MjAxODA0MjdfMTU1/MDAxNTI0Nzg0MzA2Nzg0.Mmnvg9hVebigFXmbZsAJtpwz0kRsB4FphN0cVoBz1Fcg.WRH3Sw0lIQpJ37CatDRN6RInEFham2YkzjHb4q9bsZAg.JPEG.rian7321/output_1858570401.jpg#900x675,노원 까마귀 포차
"{'name': None, 'menu': None}","['술집', '포장마차']","[126.939776, 37.510025]",20852223,서울특별시 동작구 노량진2동 231-10,오감만족,338,02-822-5697,http://ldb.phinf.naver.net/20180306_66/1520297836882Y63TA_PNG/MwX7OUhx_qZVuJLM-UDqsHXv.png,오감만족
"{'name': None, 'menu': None}","['음식점', '퓨전음식']","[128.5944156, 35.86566]",178319009373773,대구광역시 중구 덕산동 128-23,신사식탁,338,053-253-3730,http://ldb.phinf.naver.net/20190423_144/1556029419690QHYbr_JPEG/19-MZDARz1O561idJp1gL9yG.jpg,신사식탁
"{'name': None, 'menu': None}","['분식', '떡볶이']","[126.8312555, 37.3139264]",1373170499379657,경기도 안산시 단원구 고잔동 725-1 NC안산고잔점 6F,레드썬 NC백화점안산점,338,031-436-4545,http://ldb.phinf.naver.net/20170224_77/1487910761908itlVG_JPEG/186174536260926_0.jpeg,레드썬 즉석떡볶이 NC백화점 안산점
"{'name': None, 'menu': None}","['술집', '이자카야']","[126.9350881, 37.5725753]",1916876421953159,서울특별시 서대문구 연희동 81-1 거화빌딩 2층,이자카야로바다야카덴,339,02-3142-6362,http://ldb.phinf.naver.net/20170415_273/1492220562159P2yp7_JPEG/186365507261617_0.jpeg,이자카야 로바다야 카덴
"{'name': '생방송투데이', 'menu': '매운냉면'}","['한식', '냉면']","[127.0436983, 37.5823363]",261538622,서울특별시 동대문구 제기동 470,할머니냉면,1299,02-963-5362,http://ldb.phinf.naver.net/20180112_211/1515723163887vrbhm_JPEG/rXt17YQ89CbXuC_lp1b7pfep.jpg,청량리 할머니냉면
"{'name': None, 'menu': None}","['카페,디저트', '카페']","[128.4672327, 35.8521198]",384043448610895,대구광역시 달성군 다사읍 죽곡리 823-1,투썸플레이스 대구죽곡공원점,339,053-584-3508,http://blogfiles.naver.net/20160326_80/kongjag1225_1458979169487FySqE_JPEG/IMG_9609.JPG#740x493,투썸죽곡공원점
"{'name': None, 'menu': None}","['음식점', '카페,디저트']","[126.3091564, 33.4636041]",123931088309657,제주특별자치도 제주시 애월읍 애월리 2550-2,하이엔드제주,33000,070-4548-4433,http://ldb.phinf.naver.net/20180820_180/1534725719343mgCe8_JPEG/7Dpv9yEHdNaHt0NlKZ59v-9F.jpg,하이엔드 제주
"{'name': None, 'menu': None}","['일식', '돈가스']","[126.8945884, 37.5365501]",444536509405440,서울특별시 영등포구 양평동4가 85-1 2층,바삭하게,34,02-6369-6789,http://ldb.phinf.naver.net/20170711_8/1499748140996r9Q3I_JPEG/186660635559711_0.jpeg,바삭하게
"{'name': '생방송투데이', 'menu': '전통호떡'}","['분식', '호떡']","[126.7224549, 35.9824583]",1919384578134014,전라북도 군산시 경암동 365,중동호떡,34,063-445-0849,http://ldb.phinf.naver.net/20151124_139/1448349093102nR4eo_JPEG/167074564152072_0.jpg,군산 중동호떡
"{'name': None, 'menu': None}","['양식', '햄버거']","[127.4838082, 36.6103404]",137805340087798,충청북도 청주시 서원구 분평동 241-4,맥도날드청주분평DT점,34,070-7017-3424,,맥도날드청주디티지점
"{'name': None, 'menu': None}","['한식', '돼지고기구이']","[127.040864, 37.214129]",1260861900693972,경기도 화성시 진안동 875-7,오줌장군병점점,34,031-231-9595,http://blogfiles.naver.net/20160520_171/sookgot-_146371724016300J5a_JPEG/IMG_1791.JPG#900x900,오줌장군
"{'name': None, 'menu': None}","['카페,디저트', '베이커리']","[127.036926, 37.5235749]",531025897082847,서울특별시 강남구 신사동 648-15,아우어베이커리 도산본점,34400,02-545-5556,http://ldb.phinf.naver.net/20190428_17/1556415304939yIwBF_JPEG/jvL_03pUFq--Nz9-2yUdTE6r.jpg,OUR bakery
"{'name': None, 'menu': None}","['음식점', '햄버거']","[128.5948537, 35.8667566]",354765588386311,대구광역시 중구 동성로3가 82-1,글로브박스,340,053-427-2727,http://ldb.phinf.naver.net/20190308_27/1552026317304wmS0e_JPEG/GaPtIiQjAr2i5b4emsDw4qzu.jpg,글로브박스
"{'name': None, 'menu': None}","['음식점', '카페,디저트']","[126.9257095, 37.5607907]",492554007777060,서울특별시 마포구 연남동 381-6,리틀빅토리,1302,010-4592-1429,http://ldb.phinf.naver.net/20180216_13/15187895055301rtJr_JPEG/sGG-le4jjEz84Sa9sqc9K7Ef.JPG.jpg,리틀빅토리
"{'name': None, 'menu': None}","['음식점', '치킨,닭강정']","[128.6219661, 35.826015]",331042497455245,대구광역시 수성구 두산동 655-1,만수통닭수성못본점,340,053-763-5277,,만수통닭
"{'name': None, 'menu': None}","['카페,디저트', '카페']","[129.0622145, 35.1540155]",276378546,부산광역시 부산진구 부전동 223-1,에티오피아,340,051-815-5454,http://ldb.phinf.naver.net/20181122_280/1542886781377IL5sl_JPEG/AhpCOoyAJl4PfoHSAqXCb9-L.jpg,서면 에티오피아
"{'name': None, 'menu': None}","['카페,디저트', '차']","[127.0268322, 37.5008221]",1433525486761805,서울특별시 강남구 역삼동 815-4,19티 강남역점,341,02-552-8009,http://ldb.phinf.naver.net/20170831_24/1504162156531t5Aa9_PNG/MCHWUvskcxr_flq9fLoq21tr.png,19티
"{'name': None, 'menu': None}","['카페,디저트', '카페']","[127.0716627, 37.5526386]",1014991505,서울특별시 광진구 군자동 102-3,fmm,342,02-462-6651,http://ldb.phinf.naver.net/20151202_155/1449042734005sqU3j_JPEG/167076634472240_0.jpeg,FMM 카페
"{'name': None, 'menu': None}","['음식점', '패밀리레스토랑']","[126.465227, 34.8098889]",470086716656546,전라남도 무안군 삼향읍 남악리 2265,아웃백스테이크하우스 목포남악점,343,061-285-2741,http://ldb.phinf.naver.net/20160215_22/1455515846865Bqmey_JPEG/_20160203___0001.jpg,아웃백스테이크남악점
"{'name': '2TV생생정보', 'menu': '곱창'}","['한식', '곱창,막창,양']","[126.9244599, 37.5609011]",565018937261329,서울특별시 마포구 연남동 260-51,연남곱창타운,344,02-326-3391,http://ldb.phinf.naver.net/20170717_185/1500262265975naXhs_JPEG/186664578865460_0.jpeg,연남곱창타운
"{'name': '2TV생생정보', 'menu': '낙지육회탕탕이'}","['한식', '소고기구이']","[126.9999231, 37.5706027]",768395433323857,서울특별시 종로구 종로4가 177,육회자매집,346,02-2272-3069,http://ldb.phinf.naver.net/20180130_279/1517302889203TeYGN_JPEG/HKjjhSXGohEo8TbuW1tRh5n0.jpg,자매집
"{'name': None, 'menu': None}","['분식', '종합분식']","[129.3373841, 35.5384836]",1031477943,울산광역시 남구 삼산동 1478-5,섬섬옥수,346,052-275-2777,http://ldb.phinf.naver.net/20180628_202/1530164961756bW1Q4_JPEG/gqPhhbqmhRknsxZGidQkZTgO.JPG.jpg,섬섬옥수
"{'name': None, 'menu': None}","['양식', '햄버거']","[126.9711974, 37.298489]",249541232,경기도 수원시 장안구 율전동 291-6,맥도날드 수원성대점,35,070-7204-4999,,맥도날드 성대점
"{'name': '2TV생생정보', 'menu': '매운등갈비찜'}","['한식', '육류,고기요리']","[127.1316302, 37.4324378]",224586843,경기도 성남시 중원구 성남동 3431,등갈비달인 성남 본점,1307,031-722-0889,http://ldb.phinf.naver.net/20160108_95/1452234836364W1mf3_JPEG/176058556375141_8.jpg,모란 등갈비의 달인
"{'name': None, 'menu': None}","['한식', '한정식']","[128.6258992, 34.8869843]",1255860241150263,경상남도 거제시 고현동 45-8,승천냉면갈비찜,35,055-638-1554,,승천냉면갈비찜전문점
"{'name': None, 'menu': None}","['한식', '생선회']","[127.0467537, 37.5049872]",1130020,서울특별시 강남구 역삼동 697-45,참치그라,351,02-538-7234,http://ldb.phinf.naver.net/20160520_35/14637192789296AqmG_JPEG/176470537138740_0.jpeg,참치그라
"{'name': None, 'menu': None}","['음식점', '이탈리아음식']","[126.7817306, 37.4855274]",286827999,경기도 부천시 심곡동 175-9,잇츠 부천역점,354,032-666-4999,http://ldb.phinf.naver.net/20151104_4/1446625685039tTRN4_JPEG/167054575779726_21.jpg,잇츠  Eat's
"{'name': None, 'menu': None}","['카페,디저트', '카페']","[126.963825, 37.476057]",259843426,서울특별시 관악구 인헌동 1632-6,더은교,354,02-877-1103,http://ldb.phinf.naver.net/20160329_247/1459241118846QE9Q8_JPEG/176279577537858_0.jpg,더 은교
"{'name': '생활의달인', 'menu': '일본라면'}","['일식', '일본식라면']","[126.9643429, 37.5644955]",1022546192,서울특별시 서대문구 충정로2가 104-2,오카와리,355,02-6101-3431,http://blogfiles.naver.net/20160410_98/wusl5193_1460285030514uWtFY_JPEG/NaverBlog_20160410_194348_08.jpg#740x740,오카와리
"{'name': '생방송투데이', 'menu': '냉우동'}","['일식', '우동,소바']","[126.6857817, 37.7921439]",2034575313469977,경기도 파주시 탄현면 성동리 93-2,국물없는우동,355,031-944-7404,http://ldb.phinf.naver.net/20151104_152/1446623703111NSN7m_JPEG/167054568521453_1.jpg,국물없는 우동
"{'name': None, 'menu': None}","['음식점', '양식']","[126.9989872, 37.499738]",150316749032496,서울특별시 서초구 반포동 68-1,윤,355,02-3481-5007,http://ldb.phinf.naver.net/20190123_227/1548208647257z2rON_JPEG/image.jpg,서래마을윤
"{'name': None, 'menu': None}","['음식점', '카페,디저트']","[126.9096599, 35.1355919]",185679065500483,광주광역시 남구 백운동 512-2 1층 양림길하나,양림 길하나,355,010-9720-0103,,양림길하나
"{'name': None, 'menu': None}","['양식', '이탈리아음식']","[126.8928772, 37.5786977]",284325121931155,서울특별시 마포구 상암동 1610,닥터로빈 상암점,356,02-3152-3111,http://ldb.phinf.naver.net/20170929_81/1506651195656Nr5qK_JPEG/kboHKdcss2aXp5n1_6xChMJO.jpg,닥터로빈 상암점
"{'name': None, 'menu': None}","['술집', '와인']","[127.0007732, 37.5356774]",126523541375959,서울특별시 용산구 한남동 684-36 1층 더테이블키친,더테이블키친,1308,02-6011-1117,http://ldb.phinf.naver.net/20171109_12/1510237892783Ynkc1_JPEG/Nwu__xj9Q_Hzj5kGydhVALua.JPG.jpg,더테이블키친
"{'name': '맛있을지도시즌3', 'menu': '감자탕'}","['한식', '감자탕']","[126.8329959, 37.3183273]",353102401786010,경기도 안산시 단원구 고잔동 530-2,감자탕 이르비,356,031-402-4026,http://ldb.phinf.naver.net/20171106_21/1509939155432ls2gj_JPEG/PL01i_vKC7ajEuAscvDqtKcj.jpg,감자탕 이르비
"{'name': None, 'menu': None}","['일식', '돈가스']","[126.8959293, 37.4718742]",483015408745700,서울특별시 금천구 독산동 296-9 문화정원빌딩 1층,부엉이돈가스 독산사거리점,358,02-855-9095,http://ldb.phinf.naver.net/20171201_14/1512094164449Cf8tY_PNG/inUyGjiuukXlI-CE_EmkcsPI.png,부엉이돈가스
"{'name': None, 'menu': None}","['카페,디저트', '카페']","[127.02935, 37.5646781]",2069585106419589,서울특별시 성동구 하왕십리동 700,투썸플레이스 상왕십리역점,36,02-2297-2323,http://ldb.phinf.naver.net/20170303_262/1488519880733smsS7_JPEG/186252535646858_0.jpeg,A Twosome Place
"{'name': '생방송투데이', 'menu': '숙성등심샤부샤부'}","['일식', '샤브샤브']","[127.0643298, 37.6404083]",179527212660400,서울특별시 노원구 중계동 506 브라운스톤중계 101호,하나샤브샤브,36,02-972-2656,http://ldb.phinf.naver.net/20170529_282/1496024747092gJ8GL_JPEG/186476554426413_0.jpeg,하나샤부샤부
"{'name': None, 'menu': None}","['카페,디저트', '빙수']","[129.0283957, 35.3389612]",393156751,경상남도 양산시 중부동 688-1 1층,감미모찌,36,055-382-2014,http://ldb.phinf.naver.net/20150902_241/1441126232064kW2TD_JPEG/SUBMIT_1405422619644_35142581.jpg,감미모찌
